    DATE,remainder
1931-03-20,-86.91955646233576
1931-03-21,-60.91972854841309
1931-03-22,-61.91990063449042
1931-03-23,-56.920072720567745
1931-03-24,-70.92024480664507
1931-03-25,-106.9204168927224
1931-03-26,-118.92058897879973
1931-03-27,-129.92076106487707
1931-03-28,-119.92093315095438
1931-03-29,-125.92110523703171
1931-03-30,-129.92127732310905
1931-03-31,-142.92144940918638
1931-04-01,-156.33910196401368
1931-04-02,-156.339274050091
1931-04-03,-136.33944613616833
1931-04-04,-103.33961822224566
1931-04-05,-115.33979030832299
1931-04-06,-126.33996239440032
1931-04-07,-126.34013448047764
1931-04-08,-132.34030656655497
1931-04-09,-110.3404786526323
1931-04-10,-140.34065073870963
1931-04-11,-135.34082282478695
1931-04-12,-100.34099491086428
1931-04-13,-122.34116699694161
1931-04-14,-135.34133908301894
1931-04-15,-146.34151116909626
1931-04-16,-133.3416832551736
1931-04-17,-110.34185534125092
1931-04-18,-110.34202742732825
1931-04-19,-129.34219951340557
1931-04-20,-116.3423715994829
1931-04-21,-143.34254368556023
1931-04-22,-131.34271577163756
1931-04-23,-102.34288785771489
1931-04-24,-73.34305994379221
1931-04-25,-43.34323202986954
1931-04-26,-66.34340411594687
1931-04-27,-70.3435762020242
1931-04-28,-95.34374828810152
1931-04-29,-113.34392037417885
1931-04-30,-108.34409246025618
1931-05-01,-141.7807879838335
1931-05-02,-102.78096006991083
1931-05-03,-58.78113215598816
1931-05-04,-75.78130424206549
1931-05-05,-90.78147632814282
1931-05-06,-53.78164841422014
1931-05-07,-46.78182050029747
1931-05-08,-115.7819925863748
1931-05-09,-122.78216467245213
1931-05-10,-122.78233675852945
1931-05-11,-98.78250884460678
1931-05-12,-64.78268093068411
1931-05-13,-79.78285301676144
1931-05-14,-57.783025102838764
1931-05-15,-51.78319718891609
1931-05-16,-38.78336927499342
1931-05-17,-8.783541361070746
1931-05-18,-66.78371344714807
1931-05-19,-48.7838855332254
1931-05-20,-54.78405761930273
1931-05-21,-135.78422970538006
1931-05-22,-124.78440179145738
1931-05-23,-72.78457387753471
1931-05-24,-21.78474596361204
1931-05-25,-12.784918049689367
1931-05-26,19.214909864233306
1931-05-27,3.2147377781559783
1931-05-28,17.21456569207865
1931-05-29,-7.785606393998677
1931-05-30,-5.785778480076004
1931-05-31,-24.785950566153332
1931-06-01,-98.50291952723065
1931-06-02,-117.50309161330797
1931-06-03,-115.5032636993853
1931-06-04,-131.5034357854626
1931-06-05,-127.50360787153996
1931-06-06,-120.50377995761728
1931-06-07,-112.50395204369461
1931-06-08,-118.50412412977194
1931-06-09,-113.50429621584927
1931-06-10,-100.5044683019266
1931-06-11,-88.50464038800392
1931-06-12,-77.50481247408125
1931-06-13,-103.50498456015858
1931-06-14,-78.5051566462359
1931-06-15,-91.50532873231323
1931-06-16,-88.50550081839056
1931-06-17,-46.505672904467886
1931-06-18,-124.50584499054521
1931-06-19,-100.50601707662254
